KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,7/22/2021 13:41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,3.12,11.61,55182.3,2.131,10.04,4.95,49518.2,110.8,110.8,6.95,3.091,32.65,50087.2,5.61,23.74,32557,10.48,0,1.181,NA,-93.9,30.317,2.13,5.3,0
,,,STANDARD DEVIATION:,14.94,60.6,2227.3,0.278,4.07,1.36,1503.9,45.8,45.8,2.81,0.404,1.12,1552.1,16.59,56.31,1009,104.77,0,0.005,0.13,7.9,1.055,0.278,0.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,19M102806,19M102806,19M102594,19L102911,19M102832,19M102832,19M102594,20A100850,20A100850,20A100850,19L102911,19M102594,19M102594,19M102806,19M102806,19M102594,20A100888,20A100888,20A100925,20A102072,20A102072,19M102594,19L102911,20A102230,20A102230
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
7/9/2021,8:50:00,0,Piney Point,0.57,1.25,51995.5,2.289,12.52,5.78,48120.1,75,75,4.86,3.319,31.54,48501.7,2.13,11.93,31526,1.24,0,1.182,8.06,-80.9,28.771,2.286,5.34,0
7/9/2021,9:00:00,0,Piney Point,0.62,1.45,52015.9,2.317,12.46,5.76,48149.1,76.9,76.9,4.98,3.36,31.56,48529.8,2.05,11.65,31544,1.14,0,1.175,8.07,-81.3,28.761,2.319,5.35,0
7/9/2021,9:10:00,0,Piney Point,0.69,1.74,52221.9,2.345,12.42,5.74,48333.7,81.2,81.2,5.26,3.4,31.7,48716.5,2.25,12.36,31666,1.09,0,1.177,8.09,-82.3,28.767,2.345,5.35,0
7/9/2021,9:20:00,0,Piney Point,0.66,1.62,52367.9,2.366,11.49,5.43,48452.4,81.4,81.4,5.27,3.431,31.78,48838,2.03,11.61,31745,1.27,0,1.179,8.09,-82.5,28.784,2.367,5.35,0
7/9/2021,9:30:00,0,Piney Point,0.67,1.65,52510,2.391,11.67,5.5,48558,82.8,82.8,5.35,3.469,31.86,48947.3,2.09,11.8,31816,1.17,0,1.183,8.09,-82.7,28.811,2.392,5.35,0
7/9/2021,9:40:00,0,Piney Point,0.66,1.61,52560.4,2.416,13.26,6.03,48602.7,84.1,84.1,5.44,3.504,31.9,48992.6,1.98,11.43,31845,1.02,0,1.185,8.1,-83.1,28.813,2.418,5.34,0
7/9/2021,9:50:00,0,Piney Point,0.68,1.7,52790.2,2.442,10.93,5.25,48797.2,85.3,85.3,5.51,3.543,32.04,49190.7,2.18,12.11,31974,1.15,0,1.182,8.11,-83.4,28.831,2.442,5.35,0
7/9/2021,10:00:00,0,Piney Point,0.67,1.67,52885.2,2.462,11.03,5.28,48860,86.7,86.7,5.6,3.571,32.09,49256.8,2.09,11.81,32017,1.2,0,1.178,8.11,-83.7,28.857,2.463,5.35,0
7/9/2021,10:10:00,0,Piney Point,0.57,1.24,52926.5,2.482,10.98,5.27,48886.9,87.8,87.8,5.67,3.6,32.11,49285.1,1.81,10.86,32035,1.77,0,1.174,8.11,-83.9,28.868,2.484,5.36,0
7/9/2021,10:20:00,0,Piney Point,0.57,1.26,53012.7,2.504,10.85,5.22,48956.3,89.5,89.5,5.77,3.632,32.16,49356.3,1.67,10.4,32082,1.04,0,1.186,8.12,-84.2,28.879,2.504,5.35,0
7/9/2021,10:30:00,0,Piney Point,0.71,1.81,53116.3,2.522,10.66,5.16,49028.9,89.9,89.9,5.79,3.659,32.21,49432,2.09,11.8,32131,1.54,0,1.182,8.12,-84.4,28.902,2.523,5.35,0
7/9/2021,10:40:00,0,Piney Point,0.66,1.63,53290,2.541,10.49,5.1,49165.1,92.1,92.1,5.93,3.687,32.32,49572,1.86,11.04,32222,1.21,0,1.179,8.13,-84.8,28.927,2.54,5.35,0
7/9/2021,10:50:00,0,Piney Point,0.62,1.47,53364.8,2.56,10.19,5,49212.3,94.8,94.8,6.1,3.714,32.35,49622.1,1.85,11,32254,0.97,0,1.18,8.14,-85.3,28.949,2.56,5.35,0
7/9/2021,11:00:00,0,Piney Point,0.57,1.25,53435.1,2.575,10.11,4.98,49254.8,96.7,96.7,6.22,3.736,32.39,49667.4,1.02,8.17,32284,1.41,0,1.177,8.14,-85.7,28.972,2.572,5.36,0
7/9/2021,11:10:00,0,Piney Point,0.58,1.31,53532.5,2.59,9.78,4.87,49324,99.9,99.9,6.42,3.758,32.44,49739.5,1.79,10.77,32331,1.43,0,1.186,8.15,-86.2,28.992,2.591,5.35,0
7/9/2021,11:20:00,0,Piney Point,0.63,1.48,53709,2.6,9.29,4.7,49445,101.4,101.4,6.51,3.773,32.53,49866.2,1.77,10.73,32413,1.94,0,1.182,8.16,-86.4,29.035,2.601,5.35,0
7/9/2021,11:30:00,0,Piney Point,0.72,1.86,53860.5,2.61,8.99,4.6,49531.9,102.5,102.5,6.58,3.788,32.6,49959.8,1.86,11.02,32474,1.59,0,1.179,8.16,-86.6,29.088,2.608,5.35,0
7/9/2021,11:40:00,0,Piney Point,0.56,1.21,53948.1,2.614,8.82,4.54,49572,104.6,104.6,6.7,3.794,32.63,50004.8,1.66,10.33,32503,1.42,0,1.175,8.16,-86.9,29.129,2.615,5.36,0
7/9/2021,11:50:00,0,Piney Point,0.54,1.11,53990,2.617,8.75,4.52,49573.3,106.5,106.5,6.82,3.797,32.63,50010.3,1.58,10.07,32507,1.65,0,1.173,8.17,-87.3,29.166,2.619,5.35,0
7/9/2021,12:00:00,0,Piney Point,0.53,1.1,54023.2,2.614,8.4,4.41,49577.2,107.6,107.6,6.89,3.793,32.63,50017.2,1.79,10.79,32511,1.2,0,1.179,8.18,-87.7,29.193,2.613,5.36,0
7/9/2021,12:10:00,0,Piney Point,0.51,1.02,54074.2,2.616,8.81,4.54,49597.8,109.6,109.6,7.02,3.796,32.65,50041,1.63,10.25,32527,1.02,0,1.187,8.18,-87.9,29.22,2.618,5.35,0
7/9/2021,12:20:00,0,Piney Point,0.47,0.85,54121.9,2.613,8.44,4.42,49618.1,111.4,111.4,7.13,3.792,32.67,50064.1,1.41,9.51,32542,1.19,0,1.176,8.19,-88.2,29.244,2.614,5.36,0
7/9/2021,12:30:00,0,Piney Point,0.55,1.16,54152.2,2.606,8.5,4.44,49623.2,113.7,113.7,7.27,3.782,32.67,50071.9,1.67,10.38,32547,1.66,0,1.179,8.19,-88.7,29.267,2.606,5.36,0
7/9/2021,12:40:00,0,Piney Point,0.48,0.89,54188.5,2.593,8.39,4.4,49620.2,117.1,117.1,7.48,3.763,32.67,50072.9,1.52,9.85,32547,1,0,1.178,8.2,-89.2,29.303,2.593,5.35,0
7/9/2021,12:50:00,0,Piney Point,0.51,1.02,54205,2.58,8.6,4.47,49613.1,119.7,119.7,7.64,3.744,32.67,50068.3,1.71,10.53,32544,1.11,0,1.179,8.21,-89.8,29.326,2.581,5.36,0
7/9/2021,13:00:00,0,Piney Point,0.49,0.94,54238.1,2.56,8.95,4.59,49610.8,123.9,123.9,7.91,3.714,32.67,50069.6,2.49,13.17,32545,1.51,0,1.181,8.22,-90.6,29.359,2.554,5.35,0
7/9/2021,13:10:00,0,Piney Point,0.45,0.75,54260.7,2.543,9.27,4.69,49596.3,129.8,129.8,8.28,3.69,32.66,50059,1.36,9.32,32538,1.1,0,1.18,8.24,-91.5,29.394,2.542,5.35,0
7/9/2021,13:20:00,0,Piney Point,0.45,0.77,54299.8,2.522,8.52,4.45,49598.1,129.1,129.1,8.23,3.659,32.66,50064.7,1.5,9.8,32542,0.77,0,1.18,8.24,-91.6,29.429,2.52,5.35,0
7/9/2021,13:30:00,0,Piney Point,0.62,1.45,54330.9,2.501,8.9,4.57,49592,131,131,8.35,3.63,32.66,50062.5,2.04,11.64,32541,3.64,0,1.181,8.25,-92.3,29.464,2.501,5.35,0
7/9/2021,13:40:00,0,Piney Point,0.52,1.03,54355.4,2.478,9.09,4.63,49582.9,134.9,134.9,8.6,3.595,32.65,50056.9,1.78,10.74,32537,1.34,0,1.181,8.26,-92.7,29.496,2.479,5.36,0
7/9/2021,13:50:00,0,Piney Point,0.46,0.8,54396.9,2.455,8.89,4.57,49581.1,142.2,142.2,9.05,3.562,32.65,50059.7,1.41,9.49,32539,1.04,0,1.181,8.28,-93.7,29.536,2.453,5.35,0
7/9/2021,14:00:00,0,Piney Point,0.42,0.64,54433.4,2.427,8.48,4.43,49575.7,144.7,144.7,9.2,3.521,32.65,50058.6,1.42,9.52,32538,0.8,0,1.182,8.29,-94.3,29.576,2.426,5.36,0
7/9/2021,14:10:00,0,Piney Point,0.41,0.59,54473.7,2.402,8.67,4.5,49573.7,151.8,151.8,9.65,3.485,32.65,50061,1.45,9.64,32540,0.82,0,1.182,8.3,-95.4,29.615,2.4,5.36,0
7/9/2021,14:20:00,0,Piney Point,0.36,0.42,54513.2,2.373,9,4.6,49566.3,156.8,156.8,9.96,3.443,32.65,50058.6,1.25,8.96,32538,0.7,0,1.183,8.31,-96.1,29.659,2.374,5.35,0
7/9/2021,14:30:00,0,Piney Point,0.38,0.49,54560,2.343,8.84,4.55,49561.1,161.3,161.3,10.24,3.399,32.65,50058.8,1.27,9.02,32538,0.75,0,1.184,8.33,-96.8,29.708,2.344,5.35,0
7/9/2021,14:40:00,0,Piney Point,0.42,0.65,54599.4,2.31,8.79,4.54,49557.9,165,165,10.47,3.351,32.65,50060.1,1.36,9.34,32539,0.89,0,1.185,8.35,-97.9,29.748,2.311,5.35,0
7/9/2021,14:50:00,0,Piney Point,0.36,0.42,54637.1,2.278,8.89,4.57,49552.8,171.8,171.8,10.89,3.305,32.65,50059.5,1.11,8.49,32539,0.85,0,1.188,8.35,-98.5,29.788,2.278,5.36,0
7/9/2021,15:00:00,0,Piney Point,0.32,0.25,54683.6,2.248,9.01,4.61,49549.5,177.5,177.5,11.24,3.262,32.65,50061.4,1.28,9.04,32540,0.84,0,1.181,8.37,-99.2,29.834,2.248,5.36,0
7/9/2021,15:10:00,0,Piney Point,0.33,0.3,54722.6,2.212,9.27,4.7,49542.7,177.8,177.8,11.26,3.209,32.64,50059.5,1.15,8.62,32539,0.93,0,1.175,8.37,-99.6,29.877,2.21,5.35,0
7/9/2021,15:20:00,0,Piney Point,0.24,-0.06,54762.1,2.18,9.04,4.62,49536.4,183.4,183.4,11.6,3.162,32.64,50057.9,1.03,8.2,32538,0.91,0,1.179,8.38,-100.3,29.92,2.178,5.35,0
7/9/2021,15:30:00,0,Piney Point,0.31,0.19,54800.6,2.146,9.71,4.84,49523.4,190.6,190.6,12.05,3.113,32.63,50050.4,1.1,8.43,32533,0.81,0,1.182,8.4,-101.1,29.969,2.147,5.36,0
7/9/2021,15:40:00,0,Piney Point,0.29,0.13,54831.4,2.113,9.55,4.79,49515,192.4,192.4,12.16,3.066,32.63,50046.1,1.07,8.35,32530,0.64,0,1.173,8.41,-101.7,30.006,2.114,5.36,0
7/9/2021,15:50:00,0,Piney Point,0.34,0.32,54863.5,2.082,9.55,4.79,49506.2,195.6,195.6,12.35,3.02,32.62,50041.6,1.2,8.79,32527,0.7,0,1.174,8.41,-102.1,30.045,2.081,5.36,0
7/9/2021,16:00:00,0,Piney Point,0.35,0.35,54878,2.047,10.18,5,49479.5,203.3,203.3,12.83,2.969,32.61,50019.3,1.38,9.38,32513,0.66,0,1.179,8.43,-103.1,30.086,2.047,5.35,0
7/9/2021,16:10:00,0,Piney Point,0.29,0.12,54908.3,2.013,9.93,4.91,49466.4,209,209,13.18,2.92,32.6,50010.8,1.12,8.5,32507,0.67,0,1.176,8.44,-103.6,30.127,2.013,5.36,0
7/9/2021,16:20:00,0,Piney Point,0.31,0.2,54903.8,1.982,10.32,5.05,49428.2,211.9,211.9,13.36,2.874,32.57,49976.2,1.3,9.14,32485,0.64,0,1.179,8.45,-104.4,30.162,1.982,5.35,0
7/9/2021,16:30:00,0,Piney Point,0.31,0.2,54899.4,1.95,10.7,5.17,49394.3,214.7,214.7,13.53,2.828,32.55,49945.4,1.41,9.51,32465,0.81,0,1.186,8.45,-104.5,30.193,1.949,5.36,0
7/9/2021,16:40:00,0,Piney Point,0.42,0.66,54871.4,1.919,10.72,5.18,49356.3,216.9,216.9,13.67,2.783,32.52,49908.5,1.63,10.25,32441,1.12,0,1.175,8.46,-104.9,30.206,1.918,5.36,0
7/9/2021,16:50:00,0,Piney Point,0.36,0.41,54821.2,1.886,11.07,5.3,49297.3,216.1,216.1,13.62,2.735,32.48,49850.4,1.53,9.9,32403,1.18,0,1.182,8.46,-104.9,30.221,1.888,5.36,0
7/9/2021,17:00:00,0,Piney Point,0.39,0.53,54813.3,1.852,11.03,5.28,49259.4,218.1,218.1,13.74,2.687,32.45,49815.8,1.77,10.73,32380,1.23,0,1.175,8.46,-105,30.252,1.851,5.36,0
7/9/2021,17:10:00,0,Piney Point,0.47,0.87,54802.9,1.825,11.3,5.37,49228.4,219.6,219.6,13.83,2.647,32.43,49787,1.61,10.19,32362,1.88,0,1.179,8.46,-105.1,30.275,1.825,5.35,0
7/9/2021,17:20:00,0,Piney Point,0.32,0.25,54768.2,1.795,11.36,5.39,49166.4,221.3,221.3,13.93,2.604,32.39,49727.9,1.48,9.75,32323,1.31,0,1.179,8.47,-105.6,30.307,1.789,5.36,0
7/9/2021,17:30:00,0,Piney Point,0.3,0.17,54750.6,1.766,11.49,5.44,49129.1,222.2,222.2,13.99,2.561,32.36,49692.7,1.49,9.77,32300,1.03,0,1.173,8.47,-105.8,30.329,1.763,5.36,0
7/9/2021,17:40:00,0,Piney Point,0.36,0.42,54757.8,1.737,11.41,5.41,49119,222.3,222.3,13.99,2.519,32.35,49684.5,1.32,9.17,32295,0.72,0,1.186,8.48,-105.9,30.346,1.738,5.35,0
7/9/2021,17:50:00,0,Piney Point,0.36,0.39,54739.3,1.709,11.68,5.5,49084.4,221.9,221.9,13.96,2.478,32.33,49651.6,1.45,9.63,32274,0.82,0,1.182,8.48,-105.9,30.365,1.704,5.36,0
7/9/2021,18:00:00,0,Piney Point,0.36,0.42,54709.6,1.683,11.61,5.48,49029.6,223.6,223.6,14.07,2.44,32.29,49599.5,1.46,9.65,32240,0.76,0,1.176,8.48,-106.2,30.394,1.683,5.36,0
7/9/2021,18:10:00,0,Piney Point,0.32,0.24,54682.3,1.657,11.75,5.52,48985.9,224.4,224.4,14.12,2.403,32.26,49557.6,1.16,8.65,32212,0.69,0,1.174,8.48,-106.3,30.414,1.657,5.36,0
7/9/2021,18:20:00,0,Piney Point,0.33,0.28,54640,1.635,12.45,5.75,48931.8,224.6,224.6,14.13,2.371,32.22,49504.7,1.3,9.11,32178,0.79,0,1.172,8.48,-106.1,30.431,1.635,5.36,0
7/9/2021,18:30:00,0,Piney Point,0.29,0.11,54625.4,1.613,12.56,5.79,48925.3,220.5,220.5,13.87,2.339,32.21,49497.4,1.32,9.19,32173,0.73,0,1.179,8.47,-105.6,30.424,1.612,5.35,0
7/9/2021,18:40:00,0,Piney Point,0.39,0.53,54564.6,1.592,12.88,5.9,48869.7,216.6,216.6,13.63,2.309,32.17,49441.3,1.62,10.2,32137,1.05,0,1.179,8.46,-105.1,30.425,1.591,5.36,0
7/9/2021,18:50:00,0,Piney Point,0.4,0.58,54521.6,1.577,12.98,5.93,48826.3,212.7,212.7,13.39,2.287,32.14,49397.9,1.5,9.81,32109,1.3,0,1.182,8.45,-104.4,30.43,1.577,5.36,0
7/9/2021,19:00:00,0,Piney Point,0.47,0.83,54451.5,1.562,13.25,6.02,48749.9,209.1,209.1,13.16,2.265,32.08,49322.3,1.58,10.07,32059,1.67,0,1.18,8.45,-104.1,30.445,1.562,5.36,0
7/9/2021,19:10:00,0,Piney Point,0.41,0.6,54405.8,1.548,13.36,6.06,48699.7,205.1,205.1,12.9,2.244,32.05,49272.6,1.54,9.92,32027,1.59,0,1.181,8.44,-103.6,30.454,1.545,5.36,0
7/9/2021,19:20:00,0,Piney Point,0.45,0.76,54363.2,1.539,13.34,6.05,48659.3,202.3,202.3,12.73,2.231,32.02,49231.9,1.33,9.21,32001,1.23,0,1.181,8.43,-103.1,30.457,1.54,5.36,0
7/9/2021,19:30:00,0,Piney Point,0.34,0.33,54390.4,1.533,13.56,6.13,48694,198.5,198.5,12.49,2.222,32.04,49265.8,1.51,9.82,32023,1.28,0,1.172,8.41,-102.2,30.446,1.53,5.36,0
7/9/2021,19:40:00,0,Piney Point,0.4,0.55,54362.2,1.531,13.73,6.18,48667.2,194.2,194.2,12.23,2.22,32.02,49238.9,1.45,9.64,32005,1.25,0,1.177,8.41,-102,30.447,1.532,5.35,0
7/9/2021,19:50:00,0,Piney Point,0.44,0.73,54304.4,1.531,13.52,6.11,48618.1,188,188,11.84,2.219,31.99,49188.9,1.76,10.7,31973,1.5,0,1.18,8.39,-101,30.445,1.528,5.36,0
7/9/2021,20:00:00,0,Piney Point,0.48,0.88,54244.7,1.537,16.06,6.96,48556.4,186.5,186.5,11.74,2.229,31.94,49127.5,3.85,17.79,31933,1.47,0,1.173,8.38,-100.4,30.454,1.537,5.36,0
7/9/2021,20:10:00,0,Piney Point,0.38,0.49,54256.2,1.55,14.65,6.49,48574.9,180.6,180.6,11.38,2.247,31.96,49145.2,1.51,9.83,31944,1.22,0,1.18,8.36,-99.3,30.445,1.551,5.36,0
7/9/2021,20:20:00,0,Piney Point,0.42,0.64,54233,1.566,14.59,6.47,48556.8,175.8,175.8,11.07,2.27,31.94,49126.6,1.76,10.69,31932,1.01,0,1.19,8.35,-98.7,30.442,1.564,5.36,0
7/9/2021,20:30:00,0,Piney Point,0.37,0.46,54207.7,1.584,14.94,6.58,48532.1,169.8,169.8,10.69,2.296,31.92,49101.8,1.61,10.18,31916,1.42,0,1.182,8.33,-97.5,30.444,1.581,5.35,0
7/9/2021,20:40:00,0,Piney Point,0.44,0.73,54129.9,1.603,14.92,6.58,48445.3,169.1,169.1,10.65,2.324,31.86,49016.1,1.54,9.93,31860,0.76,0,1.177,8.34,-97.7,30.462,1.603,5.36,0
7/9/2021,20:50:00,0,Piney Point,0.33,0.27,54063.2,1.622,15.37,6.73,48378.6,165.9,165.9,10.45,2.352,31.81,48949.4,1.51,9.83,31817,0.74,0,1.174,8.32,-96.9,30.47,1.621,5.36,0
7/9/2021,21:00:00,0,Piney Point,0.31,0.19,53937.9,1.642,14.85,6.56,48270.2,161.2,161.2,10.16,2.38,31.73,48839.3,1.22,8.86,31746,0.62,0,1.175,8.32,-96.5,30.466,1.639,5.35,0
7/9/2021,21:10:00,0,Piney Point,0.32,0.23,53820.1,1.66,14.92,6.58,48171.3,156,156,9.84,2.407,31.66,48738.5,1.48,9.74,31680,0.67,0,1.18,8.31,-96.1,30.459,1.662,5.35,0
7/9/2021,21:20:00,0,Piney Point,0.33,0.27,53634.2,1.679,15.4,6.74,48002.2,151.8,151.8,9.58,2.433,31.53,48567.7,1.33,9.22,31569,0.65,0,1.178,8.31,-95.9,30.462,1.677,5.35,0
7/9/2021,21:30:00,0,Piney Point,0.31,0.19,53715.1,1.7,15.38,6.73,48077.8,149.2,149.2,9.41,2.464,31.59,48643.8,1.15,8.62,31618,0.57,0,1.182,8.3,-95.2,30.458,1.7,5.36,0
7/9/2021,21:40:00,0,Piney Point,0.27,0.04,53350.4,1.725,15.42,6.75,47745.5,144.3,144.3,9.11,2.5,31.34,48308.3,1.06,8.31,31400,0.64,0,1.183,8.29,-95,30.465,1.725,5.35,0
7/9/2021,21:50:00,0,Piney Point,0.33,0.29,53202,1.751,15.97,6.93,47627.4,138.3,138.3,8.74,2.536,31.26,48187.1,1.42,9.52,31322,0.63,0,1.182,8.28,-94.4,30.449,1.75,5.35,0
7/9/2021,22:00:00,0,Piney Point,0.34,0.32,53045.6,1.777,16.41,7.07,47498.3,133.5,133.5,8.44,2.574,31.16,48055.1,1.06,8.32,31236,0.78,0,1.191,8.27,-93.9,30.437,1.776,5.35,0
7/9/2021,22:10:00,0,Piney Point,0.28,0.08,52658.1,1.804,16.46,7.09,47161.1,130.3,130.3,8.25,2.613,30.91,47712.9,1.09,8.41,31013,0.51,0,1.177,8.28,-94.2,30.426,1.803,5.35,0
7/9/2021,22:20:00,0,Piney Point,0.24,-0.08,52394.3,1.827,16.06,6.96,46949.7,127.3,127.3,8.08,2.646,30.76,47496,0.69,7.05,30872,0.56,0,1.19,8.28,-94,30.4,1.827,5.35,0
7/9/2021,22:30:00,0,Piney Point,0.34,0.31,52389.8,1.851,16.03,6.95,46962.1,123.1,123.1,7.81,2.682,30.76,47506.6,1.14,8.58,30879,0.54,0,1.184,8.27,-93.5,30.382,1.851,5.35,0
7/9/2021,22:40:00,0,Piney Point,0.3,0.17,51951.5,1.879,16.79,7.2,46605.7,120.2,120.2,7.64,2.721,30.5,47141.7,1.2,8.79,30642,0.7,0,1.18,8.28,-93.9,30.342,1.878,5.35,0
7/9/2021,22:50:00,0,Piney Point,0.5,0.97,51586.2,1.903,15.43,6.75,46370.7,120.5,120.5,7.68,2.756,30.32,46893.1,1.64,10.28,30481,1.09,0,1.185,8.27,-93.7,30.24,1.903,5.36,0
7/9/2021,23:00:00,0,Piney Point,0.43,0.69,51652.8,1.933,15.52,6.78,46438.5,119.8,119.8,7.64,2.799,30.37,46960.7,1.59,10.11,30524,1.02,0,1.179,8.27,-93.4,30.231,1.931,5.35,0
7/9/2021,23:10:00,0,Piney Point,0.52,1.07,51751.4,1.96,15.36,6.72,46552,120.6,120.6,7.69,2.838,30.46,47072.6,1.62,10.22,30597,1.22,0,1.176,8.26,-93.1,30.204,1.961,5.36,0
7/9/2021,23:20:00,0,Piney Point,0.48,0.9,51832.9,1.991,15.28,6.7,46634.5,118.9,118.9,7.58,2.884,30.52,47154.9,1.51,9.83,30651,1.18,0,1.172,8.26,-92.8,30.194,1.99,5.35,0
7/9/2021,23:30:00,0,Piney Point,0.5,0.97,51907.2,2.023,14.94,6.59,46710.2,117.4,117.4,7.48,2.93,30.57,47230.4,1.57,10.05,30700,1.48,0,1.18,8.25,-92.6,30.184,2.025,5.35,0
7/9/2021,23:40:00,0,Piney Point,0.55,1.17,52081.5,2.05,14.6,6.47,46884.8,117.1,117.1,7.46,2.97,30.7,47404.8,1.63,10.25,30813,1.21,0,1.179,8.25,-92.6,30.165,2.05,5.35,0
7/9/2021,23:50:00,0,Piney Point,0.51,1.02,52295.6,2.079,14.16,6.32,47086.2,115.5,115.5,7.35,3.011,30.85,47607.5,1.68,10.41,30945,0.91,0,1.182,8.25,-92.1,30.156,2.08,5.35,0
7/10/2021,0:00:00,0,Piney Point,0.65,1.56,52627.5,2.102,13.47,6.1,47397.6,114.9,114.9,7.3,3.046,31.07,47920.8,1.73,10.57,31149,1.22,0,1.178,8.23,-91.4,30.142,2.101,5.35,0
7/10/2021,0:10:00,0,Piney Point,0.54,1.15,52958.1,2.13,12.93,5.91,47718.9,114.1,114.1,7.25,3.086,31.31,48243,1.65,10.33,31358,1.9,0,1.182,8.23,-91.2,30.117,2.129,5.34,0
7/10/2021,0:20:00,0,Piney Point,0.66,1.61,53154.9,2.149,12.38,5.73,47899.8,112.5,112.5,7.14,3.114,31.44,48425.4,1.82,10.89,31477,2.91,0,1.179,8.23,-91,30.113,2.149,5.34,0
7/10/2021,0:30:00,0,Piney Point,0.6,1.39,53488.4,2.166,11.88,5.57,48242.7,112,112,7.1,3.14,31.69,48767.1,1.89,11.11,31699,1.31,0,1.182,8.22,-90.4,30.069,2.165,5.35,0
7/10/2021,0:40:00,0,Piney Point,0.68,1.71,53661.1,2.177,11.38,5.4,48437,111,111,7.04,3.157,31.83,48959.1,1.9,11.14,31823,1.4,0,1.191,8.22,-90.3,30.028,2.174,5.35,0
7/10/2021,0:50:00,0,Piney Point,0.58,1.3,53709.3,2.183,10.77,5.2,48493.5,109.9,109.9,6.97,3.164,31.87,49014.6,1.82,10.9,31860,1.53,0,1.179,8.21,-90,30.015,2.183,5.35,0
7/10/2021,1:00:00,0,Piney Point,0.59,1.34,53710.6,2.192,11.23,5.35,48496.4,108.2,108.2,6.86,3.177,31.88,49017.4,1.7,10.49,31861,1.14,0,1.182,8.21,-89.7,30.013,2.189,5.35,0
7/10/2021,1:10:00,0,Piney Point,0.6,1.36,53712.4,2.193,11.28,5.36,48501.6,107.1,107.1,6.8,3.179,31.88,49022.2,1.97,11.4,31864,1.01,0,1.179,8.2,-89.5,30.009,2.192,5.34,0
7/10/2021,1:20:00,0,Piney Point,0.47,0.85,53724.7,2.204,11.12,5.31,48516.9,104.3,104.3,6.61,3.195,31.89,49037.1,1.5,9.81,31874,0.92,0,1.191,8.19,-88.8,30.005,2.204,5.34,0
7/10/2021,1:30:00,0,Piney Point,0.69,1.72,53750.9,2.21,11.15,5.32,48557.5,105.8,105.8,6.71,3.204,31.92,49076.2,2.14,11.99,31900,0.99,0,1.184,8.2,-89.2,29.987,2.208,5.34,0
7/10/2021,1:40:00,0,Piney Point,0.52,1.04,53745.9,2.22,11.67,5.49,48564.9,103.3,103.3,6.56,3.218,31.93,49082.3,1.54,9.95,31904,0.91,0,1.18,8.19,-88.8,29.975,2.22,5.35,0
