,Location,Date,month_year,"d15N (permil, vs AIR)","d13C (permil, vs VPDB)",wt %C,wt %N,CN
18,St Joseph Sound,4/9/2021,4/2021,4.169245118,-25.39818284,1.87,0.2,9.35
20,St Joseph Sound,4/9/2021,4/2021,1.71137693,-26.74790728,2.06,0.18,11.44444444
21,St Joseph Sound,4/9/2021,4/2021,2.269545465,-26.78872678,3.08,0.27,11.40740741
24,St Joseph Sound,4/9/2021,4/2021,1.853420779,-28.52158961,2.33,0.18,12.94444444
28,St Joseph Sound,4/9/2021,4/2021,1.943278788,-29.12638882,3.01,0.25,12.04
29,St Joseph Sound,4/9/2021,4/2021,1.105602502,-29.93745299,3.25,0.25,13
30,St Joseph Sound,4/9/2021,4/2021,-2.015115262,-28.65960296,2,0.17,11.76470588
1,Piney Point,4/16/2021,4/2021,0.227117054,-25.3455184,2.62,0.3,8.733333333
2,Piney Point,4/16/2021,4/2021,-0.202447387,-25.02179434,2.17,0.26,8.346153846
3,Bishop Harbor,4/16/2021,4/2021,-0.097540611,-27.95342126,2.76,0.26,10.61538462
4,Bishop Harbor,4/16/2021,4/2021,0.460078406,-27.66278283,2.88,0.3,9.6
5,Joe Bay,4/16/2021,4/2021,1.54182983,-23.96915336,3.77,0.46,8.195652174
6,St Joseph Sound,4/16/2021,4/2021,2.679590232,-28.07103689,2.66,0.22,12.09090909
7,St Joseph Sound,4/16/2021,4/2021,4.26171727,-29.57791686,2.81,0.23,12.2173913
8,Joe Bay,4/21/2021,4/2021,0.767643652,-22.4902139,1.73,0.22,7.863636364
12,Bishop Harbor,4/21/2021,4/2021,0.148479517,-20.83288472,1.38,0.19,7.263157895
13,Bishop Harbor,4/21/2021,4/2021,-0.06631195,-22.81235979,1.67,0.25,6.68
14,Piney Point,4/21/2021,4/2021,1.594924049,-24.52940874,NA,NA,NA
15,Piney Point,4/21/2021,4/2021,0.314867273,-21.50655459,1.59,0.2,7.95
16,Piney Point,4/21/2021,4/2021,0.9047875,-22.39194927,1.67,0.21,7.952380952
17,Piney Point,4/21/2021,4/2021,0.385456018,-20.76805033,1.63,0.2,8.15
19,St Joseph Sound,4/22/2021,4/2021,1.146806054,-21.94621282,1.62,0.17,9.529411765
23,St Joseph Sound,4/22/2021,4/2021,0.766635241,-22.79716423,1.85,0.24,7.708333333
